,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
0,Democratic Republic of Congo,,2020-04-01,0.21429913104155415,-149.30407849179028,3.953736084395196,0.1889755621498795,0.25,0.511768156352556,1.7218352149884084,0.001,4.709637227911968,55.383768736566125,24.905830084300167,2.0
1,Cuba,,2020-03-29,0.4433574541692429,14.738649026267298,2.460627051967868,0.2857666692274504,0.04111368912354442,-0.2,5.0,0.8566241080315253,4.999725287106153,45.41460811337733,0.2448249816847067,0.32565910909847795
2,Anguilla,,2021-05-12,0.1,-200.0,15.0,0.02,0.01,5.0,0.001,0.001,0.0,300.0,0.1,0.2
3,Australia,South Australia,2020-03-23,0.1,-199.99998566187415,15.0,0.11535993324009164,0.015033741884246249,-0.2,5.0,1.0421608469361476,0.2765298147860449,241.288554818065,25.254634038621383,0.3761058937790535
4,Congo,,2020-04-15,1.5,-23.892080539788452,1.0,0.02000104681062639,0.0724283287751474,0.22511085401259917,0.0021235373921870237,0.18536969752475385,2.0685565293309596,175.83881036406066,55.28516596251779,1.2937130503129128
5,Cambodia,,2020-03-29,0.1,-199.99973325091545,14.999772175554567,0.02,0.01,5.0,0.8005254299981693,0.20145259000451762,0.3629951584170694,181.4005453132786,1.0036158583774637,0.2
6,Australia,Tasmania,2020-04-09,0.1,-200.0,15.0,0.17556613189219195,0.07570525720392701,-0.2,5.0,0.001,2.9178949774573226,149.42298898862688,19.34825450128132,0.204444401285674
7,Cayman Islands,,2020-05-21,0.2835987530144582,15.91146212580349,15.0,0.02,0.01,5.0,0.004015189161281717,0.6513113148653489,5.0,39.305834951201795,1.7284909614075534,0.2
8,Curacao,,2020-09-09,0.16415645692694095,-61.238422510663426,1.2821485137736208,0.02,0.01,5.0,5.0,0.0010648771176282581,2.4984711460268563,31.30193009070818,48.76338664961586,0.22863188317169753
9,Canada,Nova Scotia,2020-03-28,0.465635858657851,17.46593516182755,15.0,0.04120512952119088,0.09135549850226171,-0.2,3.252258570872126,0.001,0.5986991585056183,139.03242331351714,12.449923054065058,0.2
10,Canada,Prince Edward Island,2021-01-07,1.485175902806257,-112.03807547198574,1.2424002567885215,0.02,0.01,5.0,0.412626799555916,0.001,1.2383892751270795,224.7531633853943,71.67891428740415,0.2
11,Aruba,,2020-05-06,0.1,-199.9990990220366,14.999999972008087,0.46838480332971755,0.06606482013170578,5.0,0.001,0.001,2.9179095402359962,149.42300900816917,19.35027596925904,0.2
12,China,,2020-01-19,0.7449540940912692,10.553607486279212,15.0,0.1948360570816102,0.03806526050237064,0.04620915732762946,5.0,5.0,2.3255529864273075,17.019066988368778,0.8227269109693424,2.0
13,Australia,,2020-03-12,0.7681947729430003,10.491073796040967,15.0,0.08366236035957088,0.0123692649518547,-0.2,4.845734235303005,1.208498071546189,2.226960534128194,270.87468435062647,13.114322702581068,0.6474408034255632
14,British Virgin Islands,,2021-01-06,0.41552295393236105,12.04804390093832,14.999942940072192,0.02,0.01,5.0,0.18450954469831,0.05406503166915036,4.999970963997642,104.3161613589154,35.5956984939188,0.20425663101926264
15,Czechia,,2020-03-13,0.7116509028423208,12.218960110090825,5.274194187961251,0.12259664325527128,0.03332080529567231,-0.2,3.602641150122362,1.9160484582204937,1.7959649735498848,4.160144705828538,1.9631444577595514,0.2
16,Bolivia,,2020-04-01,0.3299802474195063,96.83837961737879,3.042936189556548,0.15969181753561737,0.0751264050927406,0.23232538142736947,0.09753826363887037,0.5838861298899355,2.696063108742237,156.51463175669778,13.576676382740095,1.2941845883999967
17,Andorra,,2020-03-22,0.18443657495892704,15.746166322324127,14.981105874780523,0.062125413304526846,0.16930679973722196,2.901669812566046,3.314277809276099,4.9990049380937505,0.20940072771258578,198.50140333109846,20.584247098164376,0.21034383545905955
18,Botswana,,2020-06-25,0.23752708340665948,-75.79303378161069,9.413115550067326,0.02,0.01,2.098942512983858,2.0928649342265877,0.7220396251985187,2.3181535385249394,0.09876498968705161,28.372413242001922,0.2844773643472032
19,Bermuda,,2020-04-27,0.3226401038407204,25.208510537909138,15.0,0.07369156240025666,0.021294839213382318,5.0,0.008537782490845615,0.005239964771458889,3.9226195289564743,240.83490762800284,24.841354202499183,2.0
20,Cameroon,,2020-03-31,0.20294410532877002,54.94757767489106,7.317635467775251,0.02001652487106104,0.13756960972916232,-0.2,4.974221389625766,4.254259001316731,4.787035494432618,64.68274673689895,11.341726248711089,0.40534661646178793
21,Canada,Nunavut,2020-11-21,0.21335369023138465,12.820085056802608,15.0,0.022947227647538704,0.013543853924292115,-0.2,0.6150105938121309,1.5038310922214042,1.8249975589639469,258.4893445829555,10.20250044842894,0.22927604481008554
22,Australia,New South Wales,2020-03-14,0.5413122043876873,8.648575845502497,15.0,0.02,0.03227469216235631,0.9052914896860641,4.399376375371312,0.04338654458498766,4.999951658182837,76.0835788113792,9.462442336725891,1.4307584364692678
23,Canada,New Brunswick,2020-04-06,0.8583905101838124,-199.9993792903859,15.0,0.02,0.01,5.0,0.19136709314744302,0.7253016698481698,5.0,22.897409860440025,0.758478133801097,0.2
