,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
0,Bolivia,,2020-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1,Brunei,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2,Cote d'Ivoire,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
3,Curacao,,2020-09-09,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4,Democratic Republic of Congo,,2020-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
5,Australia,,2020-03-12,0.48512939058803556,-199.99992325106263,15.0,0.026362379948029507,0.01982900979180091,1.8513329153896891,4.999999951503478,1.1639335236744757,4.999999951493776,7.180819291948313,2.328053113456706,0.9984909882552455
6,Andorra,,2020-03-22,0.1900373967908789,16.00721047139744,15.0,0.3350920088899772,0.15963319791694378,0.7595430791559469,1.1830261004802631,4.88194197700658,0.11389290010585876,156.01768190167786,20.62664244121681,0.2723187778081922
7,Australia,Western Australia,2020-03-22,0.1,0.5766814359821956,4.571975142435147,0.02,0.22515140727259045,4.999963840051332,1.6605654452701188,0.22786612756180646,2.0757319973379014,162.39571895883296,1.485469593175344,1.764709795991053
8,Aruba,,2020-05-06,0.1,-107.08108763979186,15.0,0.02,0.01,0.2913865616822574,0.001,0.001,4.266947709135853,278.60257226676754,55.736842417743205,0.2
9,Anguilla,,2021-05-12,0.1,-108.69853420553336,15.0,0.02,0.01,0.2852019979195229,0.001,0.001,4.189094953009222,278.630948482744,55.57167817565258,0.2
10,Australia,Australian Capital Territory,2020-04-10,0.6121540788773602,8.060723974343793,15.0,0.4489059030481312,0.2306484970996632,0.24903146166383466,0.049990619079881664,0.001,0.8657854413255013,277.5375608080909,26.690615325533493,0.2
11,Cambodia,,2020-03-29,0.1,-199.9992569022707,14.999892260238964,0.4997875167263646,0.24992924689193097,0.39050709767870617,0.3202594159711376,0.08539813095272607,3.722126159413099,111.45581410137123,4.031669076308168,0.5077699245359971
12,Albania,,2020-03-25,1.1176813885222712,-16.059034736770908,1.122810881051252,0.09933159713476536,0.06402845446187544,3.733152082894976,0.5987990651263106,2.9649326880748004,0.6623771180726701,214.51562885606063,20.609682629833323,0.2683760155205298
13,Bermuda,,2020-04-27,0.33003269278040903,25.042830522443477,15.0,0.10164442108937165,0.09044145815611303,2.608396563077762,0.001158857890903188,0.012050309774808898,1.8693435181048699,157.60000785719603,11.324210720933541,1.4599062810969854
14,Armenia,,2020-03-19,1.2560205017130293,-169.5925700160801,14.435150396683333,0.3192591772698992,0.06314287984494225,-0.1852338763647429,4.7745208949389095,0.001,4.002862778407159,186.6923226066858,73.2364966149599,1.012371876346391
15,Australia,South Australia,2020-03-23,0.1,-199.84939451104378,15.0,0.24088933245637553,0.24987670176387758,2.4249750784355237,0.97548518905459,0.576175211599404,3.2573075362008654,220.77142963079257,23.104337049762883,1.6167828784180966
16,Bhutan,,2020-07-29,0.35218062681526274,26.818819128630782,15.0,0.1414046877139453,0.13230086989304835,3.7767156773790647,0.04889595488908634,0.001,3.6727935103395843,299.8427484311667,15.161968999250155,1.9986746744407404
17,Australia,New South Wales,2020-03-14,0.5208916975893954,8.592886134878222,15.0,0.02,0.01,4.999986554812106,4.776813624676701,0.0016104256110419915,2.869336718172633,294.678752282844,25.205643864460292,1.4288509566444463
18,Bulgaria,,2020-03-22,1.4991813839397221,-36.66124518318519,1.0,0.12081903574662771,0.08727242149709988,0.23691782321332178,0.005685062282002939,1.7658526885826025,0.7474415691904762,195.45871059625694,86.47953630161952,0.3389053650035061
19,Canada,Prince Edward Island,2021-01-07,1.4745199006744167,-114.81755034283199,1.2762492991221557,0.2670105840629316,0.062080166983818935,-0.028141405850922008,0.4254770705825358,0.001,2.2531803005225317,270.2155181967364,83.37577223119933,0.20002305436435994
20,Chile,,2020-03-17,0.47368295375823977,-0.3559858668179596,2.5286472777968183,0.02,0.0750389696405868,0.3434395630597665,3.074354232014494,3.5219458970282713,0.7204131653846757,21.04702164618672,71.6946937161698,1.0271441699741866
21,China,,2020-01-19,0.3097853806798864,-199.99984885686115,15.0,0.02,0.037317824520000493,5.0,5.0,5.0,5.0,8.460076605701843,5.712195557406625,2.0
22,Bahrain,,2020-03-10,0.5074480715718902,32.16695636053844,15.0,0.3078667496047954,0.19555139821608766,2.7719996847664468,0.001,0.05426171806349968,4.40946676742527,82.86517223097326,4.766927896134382,1.4485549812154532
23,British Virgin Islands,,2021-01-06,1.4992585396949407,-43.92910301166226,1.0695735890216398,0.16567771226709024,0.01,0.9571885525575929,0.6321207227011835,0.001996530323273421,4.8946849396111585,257.185152848143,64.89389225529489,0.20302205687244188
24,Benin,,2020-05-10,1.0463853778778716,-5.784166162957948,4.096872252385157,0.2620889799952091,0.18954247449693656,2.9879878050632906,1.0218375759543994,0.06083014956219667,0.614771158849743,71.24221117121736,76.1966865484181,0.20000139821487675
25,Canada,Nunavut,2020-11-21,0.22624013239566307,12.560967244767792,14.921162282160246,0.1686743413730949,0.0603635064040257,2.165944877659006,0.0722776288659911,2.1167686780012223,2.648395435884595,225.90410076081753,14.24611460426184,0.2
26,Bosnia and Herzegovina,,2020-03-22,1.4994765176060045,-134.27164213711967,14.147928216868108,0.1776350795678882,0.08541307373753261,2.974212862573223,2.705237978571725,0.0014885134284206834,0.369029118537379,85.52863359586195,64.7022593477467,1.5825711218545058
27,Canada,Quebec,2020-03-17,1.5,-22.21971975451992,1.0,0.0753884697403002,0.15427704193004727,-0.19496831069942802,2.46233903282355,2.573719994885026,2.2000904334613143,4.165230951883694,0.9151080959687675,1.0834531456935945
28,Dominican Republic,,2020-03-24,1.260183491246999,-10.362231967537499,1.4919337142701514,0.06315499238339801,0.033730283571910276,1.9492724370321288,0.0040910881666780755,2.846136649311409,4.99902878238298,171.7629200486148,51.22530758211575,0.8418721678782691
29,Cuba,,2020-03-29,0.7628970740162387,4.724833264880781,2.0640265668334914,0.23084784117009846,0.04989697414446004,1.2113206983250198,4.918507247567724,0.6749208294804736,4.2223259207585215,205.26113347428895,3.9321360400927916,0.323792543207431
30,Burkina Faso,,2020-03-24,0.258213321985449,11.639970741224055,15.0,0.020000400843325366,0.0939944951953846,3.73182824616012,0.006650835878398135,1.049450291922851,1.3901298059280525,144.39751052412691,85.67851895320644,0.7696945907143937
31,Canada,Nova Scotia,2020-03-28,0.23645435852021773,20.788061076286215,15.0,0.2857706224911561,0.2499836320246417,2.983101594433485,4.999725462537261,0.001,2.456505517099913,164.3165152813536,13.020452337370676,0.41263058873819103
32,Belarus,,2020-03-31,0.39413055251370627,20.330918947420074,1.558691728295733,0.15932970505562283,0.1845574136052725,-0.17629434113894887,4.022240726652546,3.8437690289451005,0.4311839918578479,26.110681077252575,74.68152208782783,0.8368872113541852
33,Afghanistan,,2020-03-30,1.173543406171037,6.18703858041556,1.08905735138808,0.2200757087287839,0.11184980291243472,0.15043391497053551,0.0011919118700838322,0.4532090529510929,0.9417846854437042,35.010499316476896,0.5347756498844859,0.4299899247279399
34,Canada,Yukon,2021-06-13,0.3162747318994876,11.360193794500617,15.0,0.10557913594416694,0.12669058366958746,2.5502169190593493,0.03900818961108018,2.7666116668283665,5.0,168.93545958783795,68.0816268262762,0.2068380456251661
35,American Samoa,,2022-03-01,0.905108751089573,18.834717628152465,15.0,0.02,0.07570451448718153,5.0,1.8056356457304206,0.005145421230556674,4.135010721727118,121.72691599622425,38.91138797695912,0.20070687834872436
36,Central African Republic,,2020-05-05,0.37145311163079775,31.594630909227032,3.7292120171741643,0.11146351077534691,0.14921526096158244,3.208157805938791,2.7662753515488574,0.0877668620540964,0.032857520356829886,21.828399321597203,99.90131025318769,0.4209603836991216
37,Chad,,2020-05-02,0.18534209328692797,18.900656734549024,14.9999656307086,0.3543700220117621,0.22523689429029908,0.633181186825692,4.998975725657195,1.485444244938219,4.6245256117186315,282.9839016133683,19.962314194688155,0.354506285748481
38,Angola,,2020-06-11,1.2054161375125816,-2.239315850630285,2.5577365755122505,0.021520335841607133,0.07771737287270128,3.936227474895923,0.04666303512834635,0.33263466083386106,0.9188230779114169,165.04777049865498,86.40511479881934,0.4108535605306301
39,Canada,Manitoba,2020-03-31,1.0569102610429906,-179.60856650862044,1.6102328981147227,0.44701788536260373,0.24781718787929544,0.10368313099454021,0.001,0.8162470446292507,3.105862399560232,270.6161667420049,100.0,1.3458363036122392
40,Canada,Alberta,2020-03-19,0.5970788443148651,6.193714174446346,3.560836224652094,0.022851291492286006,0.21844178974651607,0.6945112501938621,4.635249936079816,0.20924832811391972,1.6293472234249755,25.73047059303478,4.3532587982111295,0.730028777078664
41,Iran,,2020-02-27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
42,Cook Islands,,2022-03-06,1.4999970695767384,-61.433961791081714,14.368144046089299,0.02046221294592163,0.021695629814083406,4.82335219037285,2.140610299452324,0.6536710112394001,4.999999143160376,151.50875070656184,73.584518319614,0.20011407551881194
43,Australia,Tasmania,2020-04-09,0.1,-199.99935273338104,14.99970420021782,0.18947866158867932,0.24997577950901703,-0.04106497929962178,0.43450477508143626,0.12647020442074416,1.469785448047819,17.77168938721504,0.59115386877682,1.922189349161443
44,Djibouti,,2020-04-08,0.8563586895564608,-31.626314566368304,13.23921769068507,0.13764167465315616,0.24865591351338784,1.0432058493359053,4.934217289660053,0.001,2.505520623968809,40.49982586741306,7.237768627903492,1.9570921627357514
45,Brazil,,2020-03-16,1.173442888982469,9.679976381537676,4.8492094217249155,0.22393734926377404,0.2014265690986077,4.4972984628448325,1.2346583690582589,4.641796850494568,4.999994935143433,200.2335377994278,73.48309016581766,0.2091120087449212
46,Algeria,,2020-03-22,0.5505604529252014,5.903266780649313,15.0,0.28320304186116363,0.25,0.36117332157492843,4.985112504829047,0.001,4.058469150561152,130.58268403254996,55.79327928291826,0.6963496740701968
47,Canada,New Brunswick,2020-04-06,0.8677117044930187,-199.99818864835544,15.0,0.42581049681868055,0.2499786275208617,4.999828143020271,0.19355247055401054,0.7502634111687718,5.0,22.89088569406507,0.6153995753486811,0.2
48,Canada,Ontario,2020-03-10,0.7454988888379535,8.705844400464832,3.7709920522930283,0.14037537835168992,0.10565879091798874,0.9884442898705146,2.3210292151403915,4.47642526271495,0.4581310831748327,0.0,68.62084566657146,0.2034585665509266
49,Finland,,2020-03-08,0.2842943273568885,11.26512762845646,15.0,0.20702332555215344,0.2394507560630809,3.130404283341554,0.001,4.995375686882836,2.2188959257122556,132.9189883941987,80.34258690263997,0.7169765881201505
50,Barbados,,2020-07-13,1.0138481335642313,16.185841547097997,15.0,0.22176932670099161,0.12409367124249947,4.981073781005708,0.001,0.004582656247141753,4.505958509297063,271.0147310885848,86.42902241305968,0.24592773070047977
51,Belgium,,2020-03-06,0.5155688780778905,21.956208247863024,1.4277984177773586,0.20317585002710362,0.217853162976183,4.453211470778787,3.115953990873974,3.301518143000309,2.364264254700586,12.511018533979016,0.556808636133772,1.1880783429963104
52,Colombia,,2020-03-20,0.3404391355831045,12.894723598205886,15.0,0.1271983195945719,0.2395672661594796,1.8922784932452295,1.0952876668082285,4.636234699008322,5.0,131.04458039755602,62.66911690604003,0.3482230256745738
53,Antigua and Barbuda,,2020-09-28,0.28986216134639187,20.798893438860215,3.6882085150695985,0.271043346280184,0.024474883268604294,1.3090962878945656,0.001,0.04891895800724607,4.999782460579015,215.18994529520523,66.28384857601677,0.7960949770693094
54,Kosovo,,2020-03-30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
55,Czechia,,2020-03-13,0.467751958451928,13.657078197728131,7.033171904498323,0.022433843098511364,0.15664571025035118,1.8021254656291257,0.006395717001034121,4.8295140783416075,4.999939033144668,128.65533904339725,40.18989701392186,0.7791006764717927
56,Canada,,2020-03-12,1.1765007114875476,-4.116426587662659,1.0010769663205523,0.10979008459357878,0.010057464271214848,4.0484310902573855,2.9614607303642826,3.4304419137252387,4.740877667247921,9.246829842942313,0.15273942784074848,0.35613249094492416
57,Laos,,2021-04-23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
58,Comoros,,2020-06-13,1.2896390798627715,-70.79429129758303,6.181643298980138,0.14073482918505853,0.0610985231164356,0.797722611350644,4.861634207442284,0.001,0.7856475329200616,31.25624781265527,3.166673870796453,0.2921442792295921
59,Austria,,2020-03-10,1.5,-5.491004697370757,13.895487838828242,0.02778175495621179,0.029202537949516563,0.1900129666769444,1.0879888432086595,3.2161700269822964,5.0,12.0863794768828,1.136502061890649,1.9904235180433107
60,Eritrea,,2020-06-16,1.4999846719144676,-63.893653985055025,1.8320660316613093,0.13543539524340362,0.042364559570245895,4.462739788578801,0.8217306325653116,0.001,4.907450109926981,236.15503142024284,73.08173036292149,0.8089236034656294
61,Australia,Victoria,2020-03-18,0.25055928782031084,7.005806660006857,15.0,0.3578497610643889,0.18249922034936777,3.072806112091534,3.6561700373734007,0.001,4.999933893144712,50.71370678127994,7.394921578773994,1.6234663201936905
62,Gambia,,2020-07-19,0.5113252310839905,-18.25749839476969,8.232677253753701,0.3682562859539982,0.17520651386628575,2.484646285684068,3.7869936246486757,0.8153880116788621,1.7110885415815276,0.0,15.831217763214061,0.3908685440394417
