country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
Bolivia,,2020-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Brunei,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Cote d'Ivoire,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Democratic Republic of Congo,,2020-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Curacao,,2020-09-09,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Dominica,,2021-01-07,1.2461363160541492,-19.14374706590969,2.3540784575864704,0.0221609240928907,0.0631547360951429,1.135951946037726,0.1720992769986748,0.0637795537539034,2.95032578521199,70.9966383041462,20.4795856715322,0.2433352016339155
Ecuador,,2020-03-18,0.6791090402641912,35.082639588473015,15.0,0.02,0.1007523808851895,4.99992161746584,0.0046551287681388,0.5362177760473156,1.1133758167670136,151.09285198213428,12.32016129275498,0.2046167663480358
Cuba,,2020-03-29,0.9707773053894996,2.843662643677503,2.469146676238207,0.02,0.01,0.7835429827876937,2.557501220080101,1.023614378231054,1.975514421187162,195.29092428731173,7.676249955834299,0.3839340507614202
Cambodia,,2020-03-29,0.1,-199.99978041786383,14.999965662291007,0.4998645480635316,0.0519811825142791,0.3368406661431944,0.189580100757262,0.0505497720136031,2.548802849938819,196.9455048872508,19.267384701068345,0.8577882833117259
Aruba,,2020-05-06,0.1,-128.00241965842332,15.0,0.5,0.25,3.2129863557672547,0.001,0.001,2.356458611786365,295.39432499557734,13.77087676785036,0.2
China,,2020-01-19,0.5968075660518762,16.842963243005233,15.0,0.0968429808652648,0.2499483661367579,1.6563883175823275,5.0,5.0,3.2588121644137047,59.67256626266055,0.5065046488121595,2.0
Canada,Nunavut,2020-11-21,0.1518003217279867,14.759463865678397,14.964922648414724,0.0513596914537942,0.1393914383503004,4.995854197675561,1.0409598808253575,0.4679681645740215,4.731642380755635,207.24885519646523,8.436153528718583,0.4560143335753568
Anguilla,,2021-05-12,0.1,-129.0348768368834,15.0,0.5,0.25,3.2275382797099863,0.001,0.001,2.356458611786365,295.39432499557734,13.77087676785036,0.2
Colombia,,2020-03-20,0.4981756544725082,12.209834345239344,10.138819947896833,0.0760216321313486,0.1497514719895535,0.3243835900913648,1.9625761408162783,3.4747637338185635,5.0,122.05774975443951,49.45288441448977,0.27349433382486
Denmark,,2020-03-11,0.3982030721277839,21.005793356007345,15.0,0.0624220964627581,0.1098915357794604,4.995230936212291,1.7073785459721174,0.0015020525120135,4.999717307866169,250.1952796746316,95.14845222235412,0.8501583864677934
Canada,,2020-03-12,1.0663910927573117,14.3998604044918,13.955658443106538,0.1080535227487883,0.0987466654796594,3.794110753268382,0.3946454533528287,1.6497220637783176,4.993416887739077,207.98308544327776,75.58516950034328,0.2799835772396394
Canada,Nova Scotia,2020-03-28,0.2491507018820422,20.420798941385485,15.0,0.0863773346509267,0.2250385277005904,3.5639785257726597,2.276879653060252,1.074473833726035,4.0694558918476105,240.66335451602936,11.875039669277362,0.5232379960339021
Australia,Western Australia,2020-03-22,0.1,0.6441297016839008,4.590771816267487,0.02,0.0435357774772908,4.999958144850074,2.837189278636568,0.3923518272296361,0.3788197890050471,94.63277419111176,5.639667516064327,1.0311147404332497
Australia,South Australia,2020-03-23,0.1,-197.18883347944927,14.87832755616568,0.2523348389465152,0.25,2.108621300836964,1.0350996392054532,0.6106032212569589,1.5964730835554457,135.62800909783664,10.188113266950742,1.52419913172521
Chile,,2020-03-17,1.4137897510760946,-25.049506666017827,1.0717092918286708,0.0798257991870757,0.0354793168201074,2.9410087312736604,4.481118788340949,4.479098096536573,4.981971556832337,264.47585715977,82.53556561015664,1.0069576147417008
Australia,Tasmania,2020-04-09,0.1,-199.99972712637413,14.999699751813646,0.2661854799768395,0.01,-0.1834447982270315,0.5886165059052968,0.1578615677639872,1.3153550466660515,280.51996986791846,6.501260292488771,1.445971434279646
Canada,Quebec,2020-03-17,1.498131330484967,-2.332798529731744,2.074766342476848,0.02,0.0321885633906332,3.6877972552462808,4.9999256157227165,2.46810525886963,4.667162145064631,113.7832380313626,27.163122919927357,1.5967341147411478
Costa Rica,,2020-03-22,0.8125072287948027,1.0660081919473048,4.06479256359358,0.0416594619729594,0.049851864271368,1.0798595276295475,0.3867487585371197,2.1833243835494542,5.0,96.68007128207392,22.502672172652968,0.4132864229042445
