country_name,domain_name,Overall_MAE
Afghanistan,,897.0168031504456
Albania,,152.08876510405204
Algeria,,367.30459035954004
American Samoa,,695.7994075291593
Andorra,,126.39258242325045
Angola,,441.30524283395687
Antigua and Barbuda,,414.5011052951007
Argentina,,1211.3987312854176
Armenia,,839.0507036665796
Australia,,7486.36215811716
Australia,Australian Capital Territory,445.60932836398274
Australia,New South Wales,2665.8687512035103
Australia,Northern Territory,433.04948081432934
Australia,Queensland,66.39138256664008
Australia,South Australia,338.63963640239876
Australia,Tasmania,342.3618836738694
Australia,Victoria,143.14280829631107
Australia,Western Australia,150.4237247520769
Austria,,8809.464392648617
Azerbaijan,,558.2413955473564
Bahamas,,347.56838301537744
Bahrain,,597.3677632506465
Bangladesh,,15384.806212304344
Barbados,,404.5988700759243
Belarus,,17331.3935770384
Belgium,,27802.64431633748
Belize,,152.97492035341935
Benin,,401.1310835287604
Bermuda,,441.7020977181448
Bhutan,,338.0023477043904
Bosnia and Herzegovina,,123.94855209135673
Botswana,,276.4586787693937
Brazil,,26320.930581106266
British Virgin Islands,,415.64665286641724
Bulgaria,,440.4132509903169
Burkina Faso,,118.66301824005556
Burundi,,297.4220903423471
Cambodia,,430.4047838667749
Cameroon,,520.7767561791649
Canada,,24341.277051683883
Canada,Alberta,2762.8122283505722
Canada,British Columbia,610.7375733281525
Canada,Manitoba,308.50425913636116
Canada,New Brunswick,420.99049205511386
Canada,Nova Scotia,112.53994793959068
Canada,Nunavut,336.72398505412355
Canada,Ontario,9952.971933714101
Canada,Prince Edward Island,430.0334414629869
Canada,Quebec,15734.481546321385
Canada,Saskatchewan,166.32540614168408
Canada,Yukon,111.64354372696138
Cayman Islands,,373.7546717684034
Central African Republic,,281.8271873366665
Chad,,136.48119601397448
Chile,,6192.105876224142
China,,109065.79768565003
Colombia,,1410.4283146388095
Comoros,,288.3151114020549
Congo,,245.29868391869772
Cook Islands,,792.7298179948833
Costa Rica,,118.47820701061839
Croatia,,529.333788804605
Cuba,,307.924502090669
Cyprus,,88.03993697905204
Czechia,,4487.244123002173
Denmark,,1406.59394514057
Djibouti,,848.7498577279105
Dominica,,430.35139615770794
Dominican Republic,,2557.7373210208516
Ecuador,,33069.62536492146
Egypt,,976.7252450862401
El Salvador,,572.9500104877311
Equatorial Guinea,,224.6847224705656
Eritrea,,346.75338551695916
Estonia,,5283.652984189315
Eswatini,,253.60500174508968
Ethiopia,,1193.9766310570944
Faroe Islands,,445.3320095438353
Fiji,,1014.4706317740427
Finland,,1367.4185247286944
France,,14053.300059143927
French Guiana,,768.9484102490923
French Polynesia,,584.616888986507
Gabon,,712.412988367215
Gambia,,1498.088936389332
Georgia,,127.04481269943882
Germany,,103785.93969554633
Ghana,,1757.011559069996
Gibraltar,,427.37395273128027
Greece,,475.6923080229423
Greenland,,219.78485924089458
Grenada,,413.1519461618343
Guadeloupe,,400.7621943514112
Guam,,447.76666840029435
Guatemala,,1112.0281913649867
Guernsey,,298.2486443318112
Guinea,,410.9602957712093
Guinea-Bissau,,113.99228206150968
Guyana,,368.83789105482504
Haiti,,1674.5583895831041
Honduras,,595.0834013173278
Hungary,,744.1678698902399
Iceland,,224.34170317314042
India,,10711.032365825815
Indonesia,,2765.030214121644
Iraq,,391.87360177913183
Ireland,,18257.362096652178
Isle of Man,,337.3457703926194
Israel,,12730.924113099005
Italy,,105163.41956232635
Jamaica,,76.92290507571798
Japan,,1746.2347743074658
Jersey,,317.6721505178532
Jordan,,180.27968113858935
Kazakhstan,,657.7874326034331
Kenya,,571.3535508706536
Kiribati,,1513.5013793085661
Kuwait,,2179.4137996619856
Kyrgyzstan,,6958.348288952465
Latvia,,157.3414091728103
Lebanon,,119.61712130694322
Lesotho,,189.6910965610558
Liberia,,246.93006316708846
Libya,,681.6227982212121
Liechtenstein,,349.6502453441351
Lithuania,,143.23889332086267
Luxembourg,,1802.2534024950485
Madagascar,,380.13717221542146
Malawi,,182.71689272598482
Malaysia,,2667.8850099805377
Maldives,,201.30016337649923
Mali,,278.6612980802294
Malta,,197.88653306558098
Marshall Islands,,6228.127080353213
Martinique,,399.92613693022395
Mauritania,,1609.4827240420059
Mauritius,,225.78326308559363
Mayotte,,284.11804564570036
Mexico,,11592.691431394765
Monaco,,330.631518511705
Mongolia,,502.7942152426276
Montenegro,,1806.8816279021787
Montserrat,,398.3386761302679
Morocco,,1323.3055679966026
Mozambique,,291.4429772605359
Myanmar,,372.0804911868673
Namibia,,607.0875059315856
