country,domain,delphi_insample_mae,delphi_outsample_mae,delphi_insample_mape,delphi_outsample_mape,selftune_insample_mae,selftune_outsample_mae,selftune_insample_mape,selftune_outsample_mape,guided_insample_mae,guided_outsample_mae,guided_insample_mape,guided_outsample_mape,selftune_delphi_diff,guided_selftune_diff,guided_delphi_diff,best_method
Australia,,63.58238816165615,104.50798193830364,4.4056696991979365,1.5003190800280009,266.0473937988281,564.2127685546875,18.44589233398437,8.185967445373535,169.24420166015625,102.0550537109375,19.403400421142575,1.464566349983215,-459.70478661638384,462.15771484375,2.4529282273661437,Past-Guided
Andorra,,37.46224481547274,36.194233360442944,8.295123996214084,4.763239278115094,117.87452697753906,24.33388328552246,28.940155029296875,3.2036125659942627,170.67478942871094,205.54104614257807,38.0247688293457,27.029340744018555,11.860350074920483,-181.2071628570556,-169.34681278213512,Self-tune
Australia,Western Australia,9.373098636811028,11.1521192528247,2.365989015083339,1.9831839532104527,86.6051025390625,55.35203170776367,22.81069564819336,9.912593841552734,184.25167846679688,198.1377716064453,43.81142425537109,35.3082389831543,-44.19991245493897,-142.78573989868164,-186.98565235362062,DELPHI
Albania,,11.500188255221133,46.10356469869836,2.5430932430311395,4.349204442655892,136.2981719970703,327.83233642578125,37.24959182739258,33.1298713684082,116.39767456054688,78.26237487792969,36.842132568359375,8.320512771606445,-281.7287717270829,249.56996154785156,-32.15881017923133,DELPHI
Armenia,,31.391112960729213,4487.316527531416,5.426456987874794,70.02904203259817,89.25502014160156,2490.60400390625,16.879243850708008,46.99937057495117,121.71529388427734,2430.05078125,22.255578994750977,45.42617034912109,1996.7125236251659,60.55322265625,2057.265746281416,Past-Guided
Australia,South Australia,17.797790946249478,26.080604808525983,4.672116329535727,5.937214999210201,64.37063598632812,63.2545280456543,17.436349868774414,14.399699211120604,320.0902404785156,374.746826171875,80.140869140625,85.3094711303711,-37.173923237128314,-311.4922981262207,-348.666221363349,DELPHI
Bhutan,,5.475227145842898,15.634550973866553,3.3165832307980305,5.509925893629831,168.63388061523438,93.79280090332033,116.8289794921875,35.27047348022461,374.9539489746094,343.5636291503906,246.87661743164065,128.05978393554688,-78.15824992945377,-249.7708282470703,-327.92907817652406,DELPHI
Australia,New South Wales,107.22527768928325,172.01303029047375,7.600763952069349,5.629418635596631,120.70011138916016,196.6162872314453,13.87310791015625,6.429746627807617,176.75453186035156,138.32579040527344,24.657657623291016,4.520630836486816,-24.603256940971562,58.290496826171875,33.68723988520031,Past-Guided
Bulgaria,,76.6476625718075,736.1774702980351,14.9475873246785,32.26263622847785,600.1544799804688,756.0396118164062,150.15994262695312,34.15230178833008,416.3517761230469,919.7999877929688,94.7566909790039,41.92674255371094,-19.862141518371118,-163.7603759765625,-183.62251749493362,DELPHI
Chile,,323.4160228721016,15462.810831951369,20.80852606404025,33.105413610857575,641.3087158203125,21050.013671875,12.469613075256348,46.26443099975586,415.9835815429688,20416.37890625,13.86256217956543,44.45888519287109,-5587.2028399236315,633.634765625,-4953.5680742986315,DELPHI
China,,1983.370707164108,2872.9432422284563,25.998174797256286,3.534689551794165,2423.826904296875,8313.3349609375,5.894554615020752,10.216981887817385,5158.998046875,5932.55810546875,14.06216049194336,7.297333717346191,-5440.391718709044,2380.77685546875,-3059.6148632402937,DELPHI
Bahrain,,198.0946662944904,2152.931586918586,34.192540641947296,44.11190130352251,152.9631805419922,1660.46240234375,39.02677154541016,31.97917366027832,146.57110595703125,1648.13525390625,37.706729888916016,31.357553482055664,492.46918457483616,12.3271484375,504.79633301233616,Past-Guided
Benin,,14.560962121983698,1438.0486237113057,5.608182043268836,102.70238454929728,176.59971618652344,864.7063598632812,78.75194549560547,67.12663269042969,300.9073181152344,240.5679473876953,150.95559692382812,18.323699951171875,573.3422638480245,624.1384124755859,1197.4806763236104,Past-Guided
Canada,Nunavut,4.013016676200671,4.653891660131223,1.8920330147210125,1.655835311414826,100.5595474243164,85.53314971923828,46.23313903808594,31.69687843322754,349.5646667480469,387.80706787109375,152.93197631835938,143.46327209472656,-80.87925805910706,-302.27391815185547,-383.1531762109625,DELPHI
Bosnia and Herzegovina,,43.583666241352006,724.6230578408549,6.985744978067003,30.570165610636828,96.724609375,376.6964721679688,21.895660400390625,16.2651309967041,158.55516052246094,366.8313293457031,30.900007247924805,15.790785789489746,347.9265856728861,9.865142822265682,357.7917284951518,Past-Guided
Canada,Quebec,158.3972694770373,2764.0074057405013,4.476194105851625,6.401221197381974,868.111328125,9905.0283203125,12.313278198242188,23.10514640808105,893.3760375976562,10072.7900390625,15.27206039428711,23.45962905883789,-7141.020914571998,-167.76171875,-7308.782633321998,DELPHI
Dominican Republic,,263.4188807274185,2784.9112470494456,13.898166813902632,17.756782668188965,183.948974609375,2759.080810546875,12.44683074951172,18.84208106994629,629.212158203125,2468.49658203125,28.96159172058105,16.5174560546875,25.830436502570592,290.584228515625,316.4146650181956,Past-Guided
Cuba,,16.265785449920525,61.661025127688525,2.6703806195882107,2.9829258956628,95.78762817382812,145.64016723632812,20.77565574645996,7.193239212036133,88.3909683227539,71.06327819824219,23.932445526123047,3.462477922439575,-83.97914210863959,74.57688903808594,-9.402253070553662,DELPHI
Burkina Faso,,14.531004977618634,80.79485193831886,3.878479526041791,9.831002500521038,151.51039123535156,400.6010437011719,33.26517868041992,49.29523468017578,151.98812866210938,17.174306869506836,44.14933395385742,2.027200222015381,-319.806191762853,383.42673683166504,63.62054506881202,Past-Guided
Canada,Nova Scotia,8.795547060305998,15.559051827219424,1.9778373815191663,1.480174419595447,97.53553009033205,179.2606658935547,28.52395248413086,17.089746475219727,110.46627044677734,126.2469711303711,34.87001037597656,12.033714294433594,-163.70161406633525,53.013694763183594,-110.68791930315167,DELPHI
Belarus,,428.3083824701714,2129.091823231843,25.091961382775256,4.948996311741501,439.93701171875,6543.5634765625,16.460588455200195,15.348695755004885,1350.9710693359375,11634.01953125,27.34861946105957,28.69780540466309,-4414.471653330656,-5090.4560546875,-9504.927708018156,DELPHI
Afghanistan,,225.7697067849365,3825.406978344816,26.01554451165423,26.51947027522666,100.75850677490234,5710.86865234375,16.951292037963867,39.99073028564453,177.13816833496094,5635.046875,21.87706184387207,38.82284164428711,-1885.4616739989342,75.82177734375,-1809.6398966551842,DELPHI
Canada,Yukon,14.70343525057594,12.867575283630176,5.006141145611278,2.0010145906287,104.6912078857422,223.3983154296875,38.70013046264648,35.10905075073242,190.04920959472656,26.539735794067383,67.62140655517578,4.314582824707031,-210.53074014605733,196.85857963562012,-13.672160510437207,DELPHI
American Samoa,,181.1138161279604,300.18702041824247,15.15404622632066,5.116280717938171,219.59375,229.4120330810547,30.167085647583008,3.967278957366944,1364.3704833984375,1627.1943359375,98.19563293457033,28.098127365112305,70.77498733718778,-1397.7823028564453,-1327.0073155192576,Self-tune
