country_name,domain_name,Overall_MAE
Afghanistan,,4569.774039469974
Albania,,162.1428459060024
Algeria,,3018.3338137344576
American Samoa,,2826.6688133562116
Andorra,,230.21141052246094
Angola,,430.24756095778775
Antigua and Barbuda,,534.2360629229479
Argentina,,4113.187968079473
Armenia,,1665.474947862222
Australia,,4352.303927139497
Australia,Australian Capital Territory,627.2698484608825
Australia,New South Wales,1695.5235982545664
Australia,Northern Territory,570.4164493184694
Australia,Queensland,53.168099416813384
Australia,South Australia,439.5174186599087
Australia,Tasmania,467.95307965345785
Australia,Victoria,474.46228263747525
Australia,Western Australia,311.52125957650196
Austria,,7585.357200944927
Azerbaijan,,1543.213163993728
Bahamas,,459.7011230898575
Bahrain,,1511.5885880161338
Bangladesh,,25132.09696509133
Barbados,,537.7967744209398
Belarus,,18962.185386980083
Belgium,,26607.194511091206
Belize,,675.9837781879264
Benin,,401.5076831226618
Bermuda,,595.6497731813242
Bhutan,,485.619590221996
Bosnia and Herzegovina,,723.6600255831867
Botswana,,349.4500751764002
Brazil,,77248.19312017737
British Virgin Islands,,551.9637118057466
Bulgaria,,558.7791657783616
Burkina Faso,,177.3759501282598
Burundi,,381.2134150115537
Cambodia,,533.0428939604424
Cameroon,,1962.4693358515349
Canada,,31139.235132996466
Canada,Alberta,2914.993546821702
Canada,British Columbia,957.3036703190334
Canada,Manitoba,365.16573022117075
Canada,New Brunswick,544.5221895029847
Canada,Nova Scotia,202.59174787494499
Canada,Nunavut,511.4022792762434
Canada,Ontario,9904.504534224388
Canada,Prince Edward Island,592.4920271752586
Canada,Quebec,21801.033712252764
Canada,Saskatchewan,237.86948190608496
Canada,Yukon,184.68329244264416
Cayman Islands,,557.7802175602443
Central African Republic,,1616.247305856624
Chad,,94.30317645005776
Chile,,16539.922204245984
China,,55327.92451197664
Colombia,,6217.438985690264
Comoros,,523.4600514156717
Congo,,308.6968392385563
Cook Islands,,2215.3289087859675
Costa Rica,,148.33688010632153
Croatia,,980.6594603632537
Cuba,,645.7185918243838
Cyprus,,100.21297551544619
Czechia,,4703.455852239904
Denmark,,4288.444743841466
Djibouti,,1145.3819365165602
Dominica,,578.5312134648713
Dominican Republic,,5715.658600283341
Ecuador,,15691.100376612703
Egypt,,3979.8160050083216
El Salvador,,1031.9273269008584
Equatorial Guinea,,811.1945529991473
Eritrea,,471.2644081653004
Estonia,,4222.350094647475
Eswatini,,304.7928359340614
Ethiopia,,1158.3660314855442
Faroe Islands,,542.8660600689095
Fiji,,1019.5676514531525
Finland,,3011.2489026566627
France,,10283.562240385674
French Guiana,,782.0013571725765
French Polynesia,,848.1599133988501
Gabon,,1445.7475884665905
Gambia,,1493.0562576508858
Georgia,,154.66707600338358
Germany,,79730.17268736933
Ghana,,2509.3482685357753
Gibraltar,,576.5621129425479
Greece,,838.5924631038182
Greenland,,381.6337673563353
Grenada,,566.6384260150749
Guadeloupe,,529.1212009913485
