,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
0,Bolivia,,2020-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1,Brunei,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2,Curacao,,2020-09-09,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
3,Democratic Republic of Congo,,2020-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4,Cote d'Ivoire,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
5,Dominica,,2021-01-07,0.1,-199.88974390858627,14.999595270904022,0.3755112564357507,0.24817296254484128,4.99737984859035,0.26550193511676934,0.05134346865582896,2.613158147087569,279.46131425367366,44.13855659114708,0.24287770313370094
6,Ecuador,,2020-03-18,0.8753605173582631,3.351138143826226,15.0,0.1583569525963358,0.25,4.999745593936617,5.0,0.4030747744546077,3.2369345905703977,247.4306666479588,11.853138660875066,2.0
7,Cyprus,,2020-03-24,1.432440023868361,3.903781106450353,15.0,0.020019053286733198,0.030797726336618272,4.999662144380524,3.0986906073241,0.0023614116694302503,0.5350081947324936,277.66422204420087,5.655038905564913,0.3643051595075137
8,Congo,,2020-04-15,0.1,-199.99974498132872,14.99995529634867,0.17712104594289213,0.2497851552396071,-0.19953491800676984,4.966614169060384,0.26730869677033975,4.257742236115703,154.67159188001085,6.474249463848457,0.21028895365259426
9,Czechia,,2020-03-13,0.3882300152085522,71.7128741656325,1.0065552082023044,0.13210932412058007,0.25,4.626242887563239,2.166839302203592,1.1859341789819589,5.0,12.419468114721075,1.2631180349600648,1.9973177064242782
10,Chad,,2020-05-02,0.18279932368552712,3.377046844750955,15.0,0.02005472357086185,0.028614030265438406,4.99998323752379,4.8232175061524005,0.0017283000248598556,0.21631934169452904,280.51330199407016,32.76962122889061,0.647153698843875
11,China,,2020-01-19,1.5,8.140100633083716,15.0,0.02554107003492579,0.239183144088557,4.99991439110957,4.6358281431276,0.8461655072251637,2.9225230535264544,223.34794111680105,15.148674860458803,1.517316503622448
12,Comoros,,2020-06-13,0.800626192865067,2.247301837005409,15.0,0.02222694819574299,0.08760090217972831,4.999975719976094,4.360717244745234,0.0013310560660799338,0.0,235.18254027898126,99.79091522474624,0.2000059985389152
13,Costa Rica,,2020-03-22,0.1,20.783202737073967,1.0,0.02,0.09601664862091833,4.883286540365338,1.4368425594312482,0.04360402717185089,3.7380295837672186,10.130319442375411,0.1170267117202343,1.9998178400268078
14,Cook Islands,,2022-03-06,0.47153759859596317,9.027222064521368,15.0,0.4222241530854292,0.12858683057247755,2.7829254925057443,2.9198970044450814,0.001,0.7922412767254823,250.4947301541813,24.281529500084083,0.9356669333180733
15,Chile,,2020-03-17,0.6713193975380678,9.715800694960302,11.512983712764841,0.20367871742755037,0.25,4.618505039237442,4.80504652721615,1.3727484421795015,0.9401408240346001,142.44029700734387,14.97935777517228,0.6045734128252025
16,Canada,New Brunswick,2020-04-06,0.1,-199.98091560930345,14.999479649130748,0.5,0.24980104877261794,0.02006042129611911,0.13614858532059798,0.1744269964395444,2.975535859656536,106.5963958236041,0.2312131477304206,0.6409927539280863
17,Central African Republic,,2020-05-05,1.499985198188322,4.298374462272216,15.0,0.4276693826176918,0.02203567018673247,4.997104689070676,1.3088842577622901,0.0016947020113848414,2.581961739585452,293.02809712533644,35.00701222739415,0.5534726831577526
18,Canada,Yukon,2021-06-13,0.2833139972202022,3.2618476593936405,15.0,0.2242583045695709,0.25,4.99990698766399,5.0,0.001,2.1801715260430754,121.8148469328836,2.0301535668411703,0.32308382545497305
19,Bulgaria,,2020-03-22,1.4813839455518854,-13.445583924319587,9.757226803213333,0.1580170124915167,0.11491504862953478,1.3137398528468098,4.104166761636422,1.6241702083565879,3.0928638490601053,236.5991881864292,95.23951784184426,0.22455772553991904
20,Cameroon,,2020-03-31,0.1,-199.99997917464495,15.0,0.10710353632572478,0.01,5.0,2.2346053935088737,1.327150801128,1.0520338413144756,105.03367387412203,4.700159565291221,2.0
21,British Virgin Islands,,2021-01-06,1.4997306889633315,-30.907758009408404,1.3979505946583322,0.5,0.24999815161693037,4.2067267724888255,0.3064520779376583,0.13914369519968067,0.6016994640231133,239.92971382290125,26.297290633717985,0.20516479640585264
22,Bermuda,,2020-04-27,1.4931393057826765,-106.73729419201558,1.4300374437754277,0.4300958875877499,0.18575054490530712,0.12519787278150496,0.17840305281108962,0.057993473263718814,4.374757199195865,287.02633432821705,71.75455493761025,0.3995222057901444
23,Canada,Quebec,2020-03-17,0.8356986256254643,4.284682956782752,13.86207832193227,0.41742775373236446,0.1829015251095763,1.5285423944541898,4.99759694375374,0.38264420239658953,4.516688539377744,131.85342650957068,59.35232002199674,1.99939298433814
24,Benin,,2020-05-10,0.1,-199.9957282855772,14.999824199980251,0.34358340123962094,0.25,-0.1998830055568108,0.3149151223253677,0.27134935492911433,1.2788898520261274,293.2133744376041,17.615538945889902,0.5516164651141998
25,Bhutan,,2020-07-29,1.4999996511890348,-20.05421320965214,1.0000007899725734,0.5,0.2499998092522812,3.244648575168322,0.36321885114697894,0.001,0.6016994640231133,239.92971382290125,26.297290633717985,0.2
26,Aruba,,2020-05-06,0.1,-173.5497052182651,11.593979799836054,0.13010531515127363,0.12803628011834878,4.913297051240793,0.001,0.001,0.29270042647115435,257.7899084544192,26.830665225900766,0.2
27,Canada,Ontario,2020-03-10,1.4999492576382367,-124.7686474701153,5.808393027544544,0.3573150568070279,0.25,4.593426936833986,4.549930381894316,0.49597069412421657,3.54463132431926,103.43726634173821,48.68061416289624,1.1193286194537766
28,Cuba,,2020-03-29,0.44664179663657566,64.25000582293187,8.79747062556108,0.5,0.07074899024568072,-0.1997172441416308,1.417730448101139,2.004856535142033,3.7068679028783613,100.52665244179491,8.461520357207325,0.3288294344213968
29,El Salvador,,2020-04-10,1.1400996385215736,3.0254978395296948,15.0,0.4539482060191154,0.01,2.3082699466997987,0.7150223549094908,0.7919692008473833,1.3883286776796266,254.88034657023536,7.278005052567044,0.22701334653760624
30,Anguilla,,2021-05-12,0.1,-128.0294129835584,12.096266246538734,0.10360241088179652,0.11882539613621382,4.64901735856397,0.001,0.001,0.0,83.39316165102125,28.544548757181865,0.2
31,Australia,Northern Territory,2021-02-05,1.4999971807930348,-10.62477533363819,3.1063427749864196,0.5,0.010237925124002392,4.437439343988899,0.041430593151660255,0.02262094749762361,0.6016994640231133,239.92971382290125,26.297290633717985,0.2
32,Austria,,2020-03-10,0.1,-200.0,15.0,0.06700949653939432,0.07106430845746105,4.999323563056868,5.0,1.4740259792554098,2.7392571367368816,233.42110947176957,26.640082422702214,2.0
33,Bahamas,,2020-05-30,0.10009147045775012,-199.5658273432597,14.965967850126695,0.3581650213848757,0.24812617817828048,-0.019441705588256534,0.08016972384535088,0.015946151823475994,1.8204319912438223,167.12155441891923,19.046353474578858,0.31256062491068515
34,Canada,Saskatchewan,2020-03-27,1.3013511472010715,-23.039305754315333,14.615428665284066,0.5,0.18220848600222983,2.956637070493817,3.6276053563901485,2.512496485816304,2.575857742705468,239.65288178748494,89.18872223584819,0.27017013347817387
35,Australia,Australian Capital Territory,2020-04-10,1.5,6.374056551284344,15.0,0.5,0.010415052291939389,3.224044292945377,0.009479173578107595,0.001,0.6016994640231133,239.92971382290125,26.297290633717985,0.2
36,Canada,Prince Edward Island,2021-01-07,1.5,9.191795362234584,15.0,0.38039079968098427,0.1259456222962702,2.9718662559852236,0.017919153146478618,0.0011065981992868356,4.977419896357536,233.1427918444028,99.75637452871294,0.22103095005143236
37,Egypt,,2020-03-15,1.4938673645934788,-56.34768440156011,1.0,0.5,0.24809733550839635,2.0503966637555036,4.522820925384607,1.4298382861550485,0.27156605862772054,105.78012351207656,100.0,0.38654776660632123
38,Botswana,,2020-06-25,0.13740629068185023,2.9863001969916994,15.0,0.02,0.01870834712951226,4.999843971026299,2.4784775880681993,0.001122031840524055,0.33466229447384954,217.69680119809072,31.602137190522576,0.7989082323012747
39,Australia,Tasmania,2020-04-09,0.1,-199.99946704555262,14.999998585411658,0.4031905991572892,0.25,4.999486472039715,0.68676719144375,0.10266093850004951,0.004393443327496804,214.3925930830993,10.104068657381765,1.3948125795614676
40,Andorra,,2020-03-22,0.1,-199.99993440448665,14.999879184127584,0.40319276069547266,0.25,4.999986772324673,2.753648220792189,0.8870390694080563,0.8626536549826476,285.01241866020473,32.481071927876606,0.8795010974391847
41,Iran,,2020-02-27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
42,Antigua and Barbuda,,2020-09-28,0.2232663142903115,-120.59440892260275,14.017287435182139,0.30019502133871584,0.01,-0.18736442319599955,0.6889816861749447,0.001,4.459192948230614,69.11604152356904,8.398726776743748,0.2
43,Canada,,2020-03-12,1.5,6.527362432308627,15.0,0.30587323731515864,0.24974244736997503,-0.1999960805304182,5.0,0.001,2.714426962851478,224.7524630119325,4.175117839121375,0.5640497583600016
44,Estonia,,2020-03-15,0.1874010628447794,-178.79744174388398,1.0000090451354344,0.49997950544238456,0.24970543022179245,0.9254697022784251,3.8813248385504564,1.4453137124028048,2.311300143543523,39.16207737816817,45.25627804158249,0.21276690867213158
45,Denmark,,2020-03-11,0.6492960723040285,-199.9999394640157,14.999996674355595,0.2523614930335014,0.25,5.0,1.1093005382917736,1.2547504186339253,4.999999984067071,8.816169658368102,0.7532969990740582,1.798749225310112
46,Australia,New South Wales,2020-03-14,0.7594346185078377,16.003416173501364,2.508392910096214,0.35278693573776193,0.23927235724971307,1.6644701230426142,3.2723348178532956,0.7255852822934706,4.89851506429533,278.4469502488728,60.48435685877306,0.8335170442752173
47,Azerbaijan,,2020-03-28,0.7179843227717144,0.49232298466066826,10.313573463957045,0.4836937453988726,0.24981696401840123,3.8789854632159106,4.999910605806353,1.3815239728956774,4.781064094398861,106.27876738024185,49.90305733100406,0.4313216355821918
48,Bangladesh,,2020-04-06,0.8190925600053486,8.431013924633051,10.266442010641594,0.4211880957454909,0.25,5.0,5.0,1.3425196799928707,4.6222227338283055,226.03748699526795,24.778804265458398,0.7666488156841959
49,Belarus,,2020-03-31,1.1945734996001713,8.69160934021789,15.0,0.02,0.20646821495066595,4.999852653899757,0.8935289804665073,1.2999261204577697,0.174760659749154,295.8382545760958,30.400273261529982,0.533556683696377
50,Cayman Islands,,2020-05-21,1.5,-199.55075729702386,15.0,0.17076413911047006,0.24735567209238943,4.999411582117019,0.23658011246738248,0.5139747433161458,5.0,11.122477931299036,1.1632252561478547,0.47524341244008034
51,Australia,South Australia,2020-03-23,0.1,-199.99992378093302,15.0,0.2855392738917399,0.01,-0.19994403399828015,1.1320878964549121,0.2740767101564005,3.135009506084984,118.03085770488349,10.937267047727351,1.8402304835879202
52,Eswatini,,2020-05-02,0.1,-199.99547793412611,14.999555945246763,0.02,0.014562319190111936,4.9998375346960415,2.3442941197612677,0.001,0.4878912201126129,167.40932115480973,14.52563756310065,0.5223249725631579
53,Burundi,,2020-06-16,0.8165268373022241,-199.99956383063025,15.0,0.18741897741484106,0.07267404723545115,3.507938574954556,0.20069497801922018,0.1381710198594824,5.0,78.0693035688748,22.419289395429935,2.0
54,Kosovo,,2020-03-30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
55,Canada,Nunavut,2020-11-21,1.4998649454403008,-183.99365731708627,14.89938641427296,0.45216092734012114,0.010928869336499716,2.540374902677388,0.0012646299358708274,2.490352431187417,4.999878292970805,33.43914752455715,12.250290488883952,0.20118662835958262
56,Faroe Islands,,2020-03-23,0.1,-199.99809203724195,14.999840173304989,0.3973322780862582,0.25,4.999540078159396,0.6807050149417003,0.20512817812161413,0.7704996424762953,280.4334388021066,15.407457877055284,0.8944475669002157
57,Laos,,2021-04-23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
58,Djibouti,,2020-04-08,1.5,3.9686642218940404,15.0,0.5,0.25,0.2858802706872073,4.969453701173154,0.001,0.36455124815380824,192.28524906714335,18.010169328339593,0.49722414026058853
59,Colombia,,2020-03-20,1.138675304345426,2.1215898353326685,15.0,0.24679563530171147,0.25,2.683874517475702,5.0,0.001,4.999999049466787,172.74610852189545,38.579208225445406,1.0725382064519313
60,Equatorial Guinea,,2020-04-21,0.6805204713554018,-199.99998228213852,15.0,0.43777361986248947,0.25,2.337289135078305,0.001,0.39320864289124,5.0,3.6888269173486545,0.3793283292558328,1.7317754375124144
61,Guam,,2020-04-06,0.1,-199.99974899173603,15.0,0.1137930663967341,0.14773630677081415,4.997699394511695,0.001,1.145385692883283,3.432429509401471,217.01120200987873,21.732703736558697,0.2
62,Australia,Western Australia,2020-03-22,0.17161073118342832,-199.9977683310863,11.319991011739225,0.3638381529983205,0.25,5.0,4.997119976882898,0.33002636206971075,2.060087631061147,123.4620990495072,42.946685093232574,0.6737741939858678
63,Croatia,,2020-03-20,0.3171752401515894,-61.13086015310291,9.469008048540276,0.02,0.016252045624961416,5.0,4.5237544410267425,0.001135131660633386,4.726003901143519,9.695777234227933,1.4201592189083805,1.9999734668491176
64,Australia,Victoria,2020-03-18,1.5,-199.99987166851716,15.0,0.39658780968942475,0.24999960822990738,2.2358767371552135,2.7841509641940494,0.20839282448149707,5.0,186.92771270966915,75.03537973696115,1.817074599961005
