,country,domain,first_day_above_hundred,outsample_mape,overall_mape,train_mape,outsample_mae,overall_mae,train_mae
0,Bolivia,,2020-04-01,999.0,999.0,999.0,999.0,999.0,999.0
1,Brunei,,2020-03-25,999.0,999.0,999.0,999.0,999.0,999.0
2,Cote d'Ivoire,,2020-03-25,999.0,999.0,999.0,999.0,999.0,999.0
3,Curacao,,2020-09-09,999.0,999.0,999.0,999.0,999.0,999.0
4,Democratic Republic of Congo,,2020-04-01,999.0,999.0,999.0,999.0,999.0,999.0
5,Australia,,2020-03-12,1.5003190800280009,3.3826589178000717,4.4056696991979365,104.50798193830364,77.99280850554611,63.58238816165615
6,Andorra,,2020-03-22,4.763239278115094,7.051502616601761,8.295123996214084,36.194233360442944,37.0157619087721,37.46224481547274
7,Australia,Western Australia,2020-03-22,1.9831839532104532,2.2311985003393646,2.365989015083339,11.1521192528247,9.999514346674998,9.373098636811028
8,Aruba,,2020-05-06,1.9434905070277606,0.7059014928608892,0.033298767770198176,2.032053362491135,0.7373013353927013,0.033631755447900154
9,Anguilla,,2021-05-12,1.5937935982858364,0.5828000249656046,0.03334699598721769,1.7776935394324318,0.6494979840085899,0.03634822562606728
10,Australia,Australian Capital Territory,2020-04-10,0.4034158407165091,0.5334576047631169,0.6041324765275774,0.43166982755798017,0.5655959179965816,0.6383818367132129
11,Cambodia,,2020-03-29,1.1980767907460506,0.8499262277955351,0.6607139653224287,1.4906220855971817,1.0328018420937077,0.783986492363559
12,Albania,,2020-03-25,4.349204442655892,3.179047890786335,2.5430932430311395,46.10356469869836,23.684475735318742,11.500188255221131
13,Bermuda,,2020-04-27,1.6902978967975009,1.6559826617611029,1.637333077502191,2.460293177578395,2.2069207588186375,2.069218357318769
14,Armenia,,2020-03-19,70.02904203259817,28.173846088129505,5.426456987874794,4487.316527531416,1600.3789349926612,31.391112960729213
15,Australia,South Australia,2020-03-23,5.937214999210201,5.11757360759012,4.672116329535727,26.080604808525983,20.71427470057219,17.797790946249478
16,Bhutan,,2020-07-29,5.509925893629831,4.088886985316271,3.3165832307980305,15.634550973866553,9.052453845851229,5.475227145842898
17,Australia,New South Wales,2020-03-14,5.629418635596631,6.906628277255009,7.600763952069349,172.01303029047375,130.03786663336442,107.22527768928325
18,Bulgaria,,2020-03-22,32.26263622847785,21.04443553024165,14.947587324678501,736.1774702980351,308.87646810921166,76.6476625718075
19,Canada,Prince Edward Island,2021-01-07,12.989924851453056,5.542636667899584,1.4951974377074824,18.12144170252116,7.43670254958834,1.6297790969074573
20,Chile,,2020-03-17,33.105413610857575,25.13841604531395,20.80852606404025,15462.810831951367,5654.188842970433,323.41602287210156
21,China,,2020-01-19,3.534689551794165,18.088496893924557,25.998174797256286,2872.9432422284563,2296.600473031836,1983.3707071641077
22,Bahrain,,2020-03-10,44.11190130352251,37.685273269262524,34.192540641947296,2152.931586918586,886.4175256691719,198.09466629449042
23,British Virgin Islands,,2021-01-06,3.463626737189868,2.5980107389956104,2.1275672617161216,5.321943115081547,3.707558550109344,2.8301756343635827
24,Benin,,2020-05-10,102.70238454929729,39.79628151722253,5.608182043268836,1438.0486237113055,515.7890119773788,14.560962121983698
25,Canada,Nunavut,2020-11-21,1.655835311414826,1.80886480933151,1.8920330147210123,4.653891660131223,4.23867688181002,4.013016676200671
26,Bosnia and Herzegovina,,2020-03-22,30.570165610636828,15.290118440239478,6.985744978067003,724.6230578408549,283.38626891723334,43.583666241352006
27,Canada,Quebec,2020-03-17,6.401221197381974,5.154020546531325,4.476194105851625,2764.0074057405013,1075.8656273162853,158.3972694770373
28,Dominican Republic,,2020-03-24,17.756782668188965,15.256834368228805,13.898166813902632,2784.9112470494456,1151.2683054886954,263.4188807274185
29,Cuba,,2020-03-29,2.9829258956628,2.7804317731356014,2.6703806195882107,61.661025127688525,32.250024773078266,16.265785449920525
30,Burkina Faso,,2020-03-24,9.831002500521038,5.97443831987251,3.8784795260417906,80.79485193831886,37.86334545673843,14.531004977618634
31,Canada,Nova Scotia,2020-03-28,1.480174419595447,1.8026039442220816,1.9778373815191663,15.559051827219424,11.177062823303682,8.795547060305998
32,Belarus,,2020-03-31,4.948996311741501,17.999368047904223,25.091961382775256,2129.091823231843,1027.17579118907,428.3083824701714
33,Afghanistan,,2020-03-30,26.51947027522666,26.19298316079946,26.01554451165423,3825.406978344816,1493.247619306021,225.76970678493652
34,Canada,Yukon,2021-06-13,2.0010145906287,3.9479979924483968,5.006141145611278,12.867575283630176,14.057005684749969,14.703435250575941
35,American Samoa,,2022-03-01,5.116280717938171,11.619621751538094,15.154046226320661,300.18702041824247,223.04100073721466,181.11381612796038
36,Central African Republic,,2020-05-05,19.963738658733952,11.21627038316029,6.4622115377398215,903.4752370467927,347.0366544266232,44.62438126348769
37,Chad,,2020-05-02,3.668234544242077,5.954269116419717,7.196679209994515,31.685361209789352,30.247751974251244,29.46644260711096
38,Angola,,2020-06-11,23.89331021558295,11.327391637208223,4.498088062004567,418.9737995770012,155.95063514707823,13.003263174293934
39,Canada,Manitoba,2020-03-31,2.4026255969784858,1.7264030305537086,1.3588907661924163,7.086427135775055,4.459057966338108,3.031139939470202
40,Canada,Alberta,2020-03-19,1.6687923682915016,4.483819339961052,6.013725302824936,106.02420206452797,76.9138552791596,61.09301463493766
41,Iran,,2020-02-27,999.0,999.0,999.0,999.0,999.0,999.0
42,Cook Islands,,2022-03-06,32.488723076140374,31.274143269820552,30.61404554899457,1657.1624592807223,897.9581455065379,485.34710541187246
43,Australia,Tasmania,2020-04-09,1.1062448837557681,1.0882060150466328,1.0784022820525374,2.522238334963151,2.2008782707304304,2.0262260619082997
44,Djibouti,,2020-04-08,294.2201058065825,118.29158457312565,22.678257815812113,12048.73638202467,4339.230928670451,149.28231271707133
45,Brazil,,2020-03-16,40.69934801054853,21.906737707561287,11.693362542894308,109849.34101387652,39062.86349607438,591.9518016167013
46,Algeria,,2020-03-22,88.85725851050879,34.13340080183247,4.392173786247519,7497.30964204613,2664.425897166222,37.85864451409761
47,Canada,New Brunswick,2020-04-06,9.143221921838203,5.2988674545661185,3.2095443745269403,13.344808139259491,7.136207667916023,3.761968281316311
48,Canada,Ontario,2020-03-10,12.969118175289521,7.763948151221626,4.935051399010815,2764.5425968142017,1026.475302117266,81.87351152110548
49,Finland,,2020-03-08,7.894095362994329,4.891061795866038,3.258978335470228,491.0835806936957,202.84118625524374,46.18771101695464
50,Barbados,,2020-07-13,5.278838219884159,2.8374046440053204,1.510538570158125,9.487223569698426,4.558790656717901,1.88029450835892
51,Belgium,,2020-03-06,1.0331929646925462,9.24118643350188,13.70205244915913,521.1314091092177,432.4919515740264,384.31833334837904
52,Colombia,,2020-03-20,35.336694563658696,15.166835889024997,4.204956174550153,6977.226536665735,2491.4625683764984,53.54736821930519
