Country,Domain,InSample_MAE,OutSample_MAE,InSample_MAPE,OutSample_MAPE
Afghanistan,,501.2151794433594,5009.41748046875,67.02300262451172,40.26241683959961
Albania,,439.35955810546875,133.1549530029297,112.71278381347656,14.453871726989746
Algeria,,469.1171875,659.2147216796875,43.679317474365234,10.25960922241211
American Samoa,,518.5180053710938,567.9993896484375,82.81356811523438,9.756406784057617
Andorra,,633.8959350585938,632.135986328125,122.87965393066406,83.1663589477539
Angola,,684.7962646484375,356.5158386230469,246.04598999023438,22.376039505004883
Argentina,,197.4867706298828,1285.637451171875,34.00642776489258,12.743574142456055
Armenia,,316.21453857421875,2290.4443359375,56.3911247253418,46.3820686340332
Australia,,648.1204833984375,133.06419372558594,30.6142578125,1.9430830478668213
Australia,New South Wales,634.51904296875,5511.6826171875,40.35881805419922,179.83999633789062
Australia,Queensland,401.70361328125,381.6827392578125,56.14052963256836,36.24970245361328
Australia,South Australia,763.275634765625,894.2244873046875,190.1787109375,203.56619262695312
Australia,Tasmania,751.1171875,876.8321533203125,356.3705139160156,384.57550048828125
Australia,Victoria,148.75559997558594,266.0484924316406,29.36520004272461,17.268199920654297
Australia,Western Australia,573.233642578125,629.0658569335938,128.77572631835938,112.23388671875
Austria,,728.4515991210938,896.4512939453125,29.449338912963867,7.2116007804870605
Azerbaijan,,203.1648712158203,270.5343322753906,38.68473815917969,5.731827735900879
Bahrain,,482.95892333984375,2263.214111328125,107.1658935546875,50.24481201171875
Bangladesh,,494.41717529296875,24760.396484375,16.354917526245117,38.37841033935547
Belarus,,339.63885498046875,7661.099609375,31.836179733276367,18.131696701049805
Belgium,,550.531494140625,3261.162353515625,21.725278854370117,6.265528202056885
Belize,,268.3934020996094,221.83523559570312,58.899993896484375,9.536924362182617
Benin,,740.1519165039062,123.70049285888672,332.547119140625,9.530301094055176
Bhutan,,715.0833740234375,743.309814453125,463.9206237792969,276.5636901855469
Bosnia and Herzegovina,,319.77313232421875,433.15362548828125,66.59602355957031,18.22620391845703
Botswana,,676.42919921875,211.1636505126953,179.7694854736328,15.460593223571777
Brazil,,851.7471313476562,90759.4375,16.13277816772461,41.32637023925781
Bulgaria,,934.3629760742188,280.75628662109375,194.2529296875,12.702640533447266
Burkina Faso,,607.2496948242188,449.35491943359375,145.20999145507812,55.83606719970703
Burundi,,765.01904296875,751.9132690429688,354.6625061035156,183.50167846679688
Cameroon,,385.216552734375,1365.924072265625,40.6052131652832,26.548051834106445
Canada,,757.1632080078125,16477.146484375,46.3541259765625,24.33568000793457
Canada,Alberta,346.9851989746094,3290.853759765625,41.456871032714844,49.606101989746094
Canada,British Columbia,318.21649169921875,565.1896362304688,32.095699310302734,24.457340240478516
Canada,Manitoba,699.095947265625,804.9842529296875,271.5529479980469,273.67840576171875
Canada,Nova Scotia,365.8332214355469,181.57435607910156,92.64450073242188,17.305265426635742
Canada,Nunavut,759.7710571289062,871.1139526367188,330.39599609375,322.16796875
Canada,Ontario,262.2257080078125,733.417724609375,29.913667678833008,3.4419147968292236
Canada,Quebec,804.0421142578125,10682.0,13.596553802490234,24.87410545349121
Canada,Saskatchewan,622.2152099609375,483.6809997558594,197.38031005859375,78.11663055419922
Canada,Yukon,573.146728515625,467.83734130859375,177.1012725830078,74.07691955566406
Central African Republic,,570.4302978515625,1340.6051025390625,110.86614227294922,32.9937744140625
Chad,,519.2107543945312,427.2800598144531,115.86946868896484,49.42195129394531
Chile,,1519.447509765625,18580.669921875,37.83301544189453,38.88617706298828
China,,1769.685546875,3544.52294921875,10.897270202636719,4.3606414794921875
Colombia,,192.94117736816406,5295.6767578125,29.824556350708008,30.703075408935547
Comoros,,801.2952880859375,860.1007690429688,363.8830871582031,263.973388671875
Congo,,813.7537231445312,512.6492309570312,301.53155517578125,70.36348724365234
Cook Islands,,689.714599609375,2486.34619140625,71.11296081542969,48.83662414550781
Costa Rica,,520.0540771484375,333.44354248046875,120.65109252929688,39.57675552368164
Croatia,,262.5775451660156,728.6621704101562,25.68623161315918,32.63277816772461
Cuba,,279.8960876464844,1305.016357421875,62.08903121948242,64.27188110351562
Cyprus,,447.460693359375,309.05328369140625,103.32034301757812,33.57008361816406
Czechia,,369.8172607421875,208.4545440673828,19.583906173706055,2.528568983078003
Denmark,,1140.511962890625,2082.206298828125,49.59709548950195,21.11374282836914
Djibouti,,219.19915771484375,2421.4013671875,44.250892639160156,63.83595657348633
Dominican Republic,,435.7215576171875,1797.045166015625,36.21327209472656,11.925846099853516
Ecuador,,1254.8450927734375,2365.335205078125,24.256868362426758,7.607123851776123
Egypt,,515.3050537109375,2784.179931640625,66.24795532226562,27.523719787597656
El Salvador,,471.3287658691406,1556.2545166015625,152.46018981933594,51.01368713378906
Equatorial Guinea,,592.2459106445312,721.523193359375,108.78511810302734,25.54146385192871
Eritrea,,838.517333984375,929.8027954101562,396.9959716796875,321.6496887207031
